confidenceThreshold;tpr;fpr;accuracy;GPT_Model
1.0;0.10586881472957423;0.20533642691415313;0.4488734835355286;GPT-3.5
0.94;0.5443037974683544;0.4234338747099768;0.560369728480647;GPT-3.5
0.8899999999999999;0.9240506329113924;0.8213457076566125;0.5528596187175043;GPT-3.5
0.7999999999999998;0.9079401611047181;0.8109048723897911;0.5499711149624494;GPT-3.5
0.6899999999999997;0.905638665132336;0.8039443155452436;0.5522819179664934;GPT-3.5
0.5999999999999996;0.9010356731875719;0.7958236658932715;0.5540150202195263;GPT-3.5
0.39999999999999947;0.9010356731875719;0.7946635730858469;0.5545927209705372;GPT-3.5
0.2999999999999994;0.9010356731875719;0.7935034802784223;0.5551704217215483;GPT-3.5
1.0;0.33141542002301494;0.8503480278422274;0.24090121317157712;GPT-4o-mini
0.94;0.8504027617951668;0.8039443155452436;0.5245522819179665;GPT-4o-mini
0.8899999999999999;0.8204833141542003;0.6647331786542924;0.5788561525129983;GPT-4o-mini
0.8499999999999999;0.7054085155350979;0.33642691415313225;0.6845753899480069;GPT-4o-mini
0.7999999999999998;0.6950517836593786;0.31322505800464034;0.6909300982091277;GPT-4o-mini
0.7499999999999998;0.6892980437284235;0.25406032482598606;0.7175043327556326;GPT-4o-mini
0.6899999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
1.0;0.142692750287687;0.734338747099768;0.20392836510687465;GPT-4o
0.99;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.94;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.8899999999999999;0.9459148446490219;0.6728538283062645;0.6377816291161178;GPT-4o
0.8499999999999999;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.7999999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.6899999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.5999999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.1999999999999993;0.8791714614499425;0.265661252900232;0.8070479491623339;GPT-4o
